regime,window_set,feature_set,model,config_name,fold,n_features,n_train,n_valid,n_train_records,n_valid_records,accuracy,precision,sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
all_records_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,3,57,76634,18910,20,5,0.8671073506081438,0.24324324324324326,0.0036086607858861267,0.9982943469785575,0.007111813512445673,0.5824531629321679,0.17204360776549366,16388,28,2485,9
all_records_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,4,57,76581,18963,20,5,0.8694826767916469,0.09523809523809523,0.0033236393851267137,0.9954095192075381,0.006423123243677238,0.45980698209187526,0.11144945175538844,16480,76,2399,8
all_records_sleep_only,window_10s,respiratory_spo2,ExtraTrees,extra_trees,5,57,71273,24271,19,6,0.8480491121091014,0.15862068965517243,0.013180515759312322,0.9882585053654781,0.02433862433862434,0.6234704902497308,0.19727791587933705,20537,244,3444,46
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,1,46,37196,8469,19,5,0.5853111347266501,0.4861344537815126,0.6846153846153846,0.5193554725879348,0.5685503685503686,0.623953538261548,0.5119646671066171,2643,2446,1066,2314
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,2,46,37124,8541,19,5,0.5959489521133357,0.22277403334515786,0.3326271186440678,0.670674883511198,0.26683662630125343,0.5151770212622316,0.22966867603495872,4462,2191,1260,628
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,3,46,36958,8707,20,4,0.5216492477317101,0.3928295073510446,0.4568086382723455,0.5618834915317328,0.4224102066287616,0.5056838436891069,0.3797083268014545,3019,2354,1811,1523
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,4,46,35832,9833,19,5,0.5882233296043934,0.17783291976840365,0.3767523364485981,0.6328038418913927,0.24161828057688706,0.4786119363436435,0.1650309850226415,5139,2982,1067,645
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_shallow,5,46,35550,10115,19,5,0.5895205140879881,0.20814767663908337,0.28213977566867987,0.6809029113761703,0.23956043956043957,0.47106262967228274,0.2214078742060137,5309,2488,1664,654
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,1,46,37196,8469,19,5,0.5709056559215964,0.47118874773139746,0.6144970414201183,0.5419532324621733,0.5333846944016436,0.6003619594879779,0.4829081733581207,2758,2331,1303,2077
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,2,46,37124,8541,19,5,0.6027397260273972,0.22506393861892582,0.326271186440678,0.6811964527280926,0.26637837837837836,0.5136415775220557,0.22833802713881124,4532,2121,1272,616
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,3,46,36958,8707,20,4,0.5397955667853451,0.40294202480530716,0.4190161967606479,0.6147403685092128,0.4108219379503014,0.5176234434855073,0.38855710669392307,3303,2070,1937,1397
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,4,46,35832,9833,19,5,0.5856808705379843,0.17267184035476718,0.3639018691588785,0.6324344292574806,0.23421052631578948,0.48503939969871585,0.16453639203386955,5136,2985,1089,623
exclude_ucddb005_sleep_only,window_60s,flow_spo2,XGBoost,xgb_regularized,5,46,35550,10115,19,5,0.597132970835393,0.21225024566000655,0.27955133735979293,0.6915480312940875,0.24129584807298454,0.4635924991836089,0.2223685179569706,5392,2405,1670,648
exclude_ucddb005_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,1,46,37196,8469,19,5,0.6076278191049711,0.5899053627760252,0.055325443786982245,0.9744547062291217,0.10116310522044901,0.6203026948715237,0.500156133718293,4959,130,3193,187
exclude_ucddb005_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,2,46,37124,8541,19,5,0.7481559536354057,0.17206982543640897,0.036546610169491525,0.9500977002855855,0.06028833551769332,0.49328820055690437,0.21378863605424103,6321,332,1819,69
exclude_ucddb005_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,3,46,36958,8707,20,4,0.59641667623751,0.38491048593350385,0.09028194361127774,0.9104783175134934,0.14625850340136054,0.5100148591163955,0.383964560980848,4892,481,3033,301
exclude_ucddb005_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,4,46,35832,9833,19,5,0.766602257703651,0.1542111506524318,0.07593457943925233,0.9122029306735624,0.10176125244618395,0.4622581987163774,0.15880235098052836,7408,713,1582,130
exclude_ucddb005_sleep_only,window_60s,flow_spo2,ExtraTrees,extra_trees,5,46,35550,10115,19,5,0.752743450321305,0.2057877813504823,0.027610008628127698,0.9683211491599333,0.04868771395968049,0.49512633063998973,0.23684184020192456,7550,247,2254,64
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,1,57,37196,8469,19,5,0.5964104380682489,0.4957759004001779,0.6597633136094675,0.5543328748280605,0.5661335364305662,0.638045395510214,0.5293827669156642,2821,2268,1150,2230
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,2,57,37124,8541,19,5,0.5707762557077626,0.22796817625458995,0.3945974576271186,0.6207725837967835,0.28898370830100856,0.5323079288176356,0.2353704243933556,4130,2523,1143,745
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,3,57,36958,8707,20,4,0.5196967956816355,0.37933978372225385,0.3998200359928014,0.5940815187046343,0.3893107476635514,0.5177248190786187,0.37960545715602456,3192,2181,2001,1333
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,4,57,35832,9833,19,5,0.5935116444625241,0.16661803326524657,0.33352803738317754,0.6483191725157,0.2222222222222222,0.46723178312371183,0.1596334924524767,5265,2856,1141,571
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_shallow,5,57,35550,10115,19,5,0.5769649036085023,0.1584813653779171,0.19628990509059535,0.6901372322688213,0.17537097706687224,0.41560090422158563,0.19088945554341596,5381,2416,1863,455
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,1,57,37196,8469,19,5,0.6066831975439839,0.5055923305181466,0.6553254437869822,0.5743761053252112,0.5708027316067517,0.6352029147447621,0.49919183298982284,2923,2166,1165,2215
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,2,57,37124,8541,19,5,0.6183116731061936,0.25412186379928314,0.3755296610169492,0.6872087779948896,0.30312099187687047,0.5552758950339722,0.25579117027771836,4572,2081,1179,709
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,3,57,36958,8707,20,4,0.5381876650970484,0.4022203245089667,0.4238152369526095,0.6091568955890564,0.41273550460055497,0.5298031683445555,0.38923884944724163,3273,2100,1921,1413
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,4,57,35832,9833,19,5,0.5985965625953422,0.16928085232317253,0.3341121495327103,0.6543529122029307,0.22471027303083874,0.48012569379950676,0.16259197063527506,5314,2807,1140,572
exclude_ucddb005_sleep_only,window_60s,respiratory_spo2,XGBoost,xgb_regularized,5,57,35550,10115,19,5,0.6070192782995552,0.14518201284796575,0.1462467644521139,0.744004104142619,0.14571244358478402,0.4211910390525415,0.19547834774189818,5801,1996,1979,339
