experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp
ecg_only,XGBoost,0.85,0.7999326696484393,0.53125,0.004084574723690533,0.9990980698695208,0.008106819265617548,16616,15,4145,17
ecg_only,XGBoost,0.9,0.7997883903236667,0.0,0.0,0.9999398713246347,0.0,16630,1,4162,0
ecg_only,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
effort_only,XGBoost,0.05,0.2002116096763334,0.2001731435167372,1.0,6.01286753652817e-05,0.3335737757473752,1,16630,0,4162
effort_only,XGBoost,0.1,0.20151012359928822,0.200346837516258,0.9992791926958193,0.0018639889363237328,0.33377472814092535,31,16600,3,4159
effort_only,XGBoost,0.15,0.20853171740489587,0.20077877829155513,0.9911100432484382,0.012687150502074439,0.3339134658194034,211,16420,37,4125
effort_only,XGBoost,0.2,0.22089164622709564,0.2006068444090728,0.9690052859202306,0.03367205820455775,0.33239924173741037,560,16071,129,4033
effort_only,XGBoost,0.25,0.2464771798201318,0.2017625712804562,0.9351273426237385,0.07413865672539234,0.33191199044857583,1233,15398,270,3892
effort_only,XGBoost,0.3,0.2881739046794594,0.20435725004168287,0.883469485824123,0.13919788347062714,0.3319341006544798,2315,14316,485,3677
effort_only,XGBoost,0.35,0.3484345693262155,0.21052306933135947,0.820038443056223,0.2304130839997595,0.33503484833611463,3832,12799,749,3413
effort_only,XGBoost,0.4,0.42653777713653634,0.220066358915176,0.733061028351754,0.34982863327520897,0.338511039609453,5818,10813,1111,3051
effort_only,XGBoost,0.45,0.5121435098350406,0.23087997120748605,0.616530514175877,0.486020082977572,0.3359518198481278,8083,8548,1596,2566
effort_only,XGBoost,0.5,0.596114076852787,0.2458603311735061,0.49231138875540603,0.6220912753292045,0.3279449423815621,10346,6285,2113,2049
effort_only,XGBoost,0.55,0.6631077766556053,0.2577126299642066,0.36328688130706394,0.7381396187841982,0.3015255758300927,12276,4355,2650,1512
effort_only,XGBoost,0.6,0.712932236810465,0.2640376077304779,0.24291206150888997,0.8305573928206361,0.25303466399699664,13813,2818,3151,1011
effort_only,XGBoost,0.65,0.7468859712403213,0.2575957727873184,0.14055742431523305,0.8986230533341351,0.18187470853412094,14945,1686,3577,585
effort_only,XGBoost,0.7,0.7683835906314626,0.24373040752351097,0.0747236905333974,0.9419758282725031,0.11438028687017286,15666,965,3851,311
effort_only,XGBoost,0.75,0.7851680854133603,0.256,0.03844305622296973,0.972040165955144,0.06684771255483601,16166,465,4002,160
effort_only,XGBoost,0.8,0.7953638243639687,0.2876712328767123,0.01513695338779433,0.990619926643016,0.02876055695046793,16475,156,4099,63
effort_only,XGBoost,0.85,0.7992593661328332,0.3333333333333333,0.0028832292167227293,0.9985569117912333,0.005717008099094807,16607,24,4150,12
effort_only,XGBoost,0.9,0.7998845765401817,1.0,0.0002402691013935608,1.0,0.00048042277203939464,16631,0,4161,1
effort_only,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0
flow_only,XGBoost,0.05,0.20001923724330303,0.20001924187030978,0.9990389235944258,6.01286753652817e-05,0.3333066132264529,1,16630,4,4158
flow_only,XGBoost,0.1,0.2007887269754244,0.20005779233288384,0.9980778471888515,0.0012627021826709158,0.33330658749899705,21,16610,8,4154
flow_only,XGBoost,0.15,0.23584860289520512,0.20459468990881152,0.9757328207592504,0.05068847333293248,0.33826163008621046,843,15788,101,4061
flow_only,XGBoost,0.2,0.24854518347520801,0.20530618540799012,0.9593945218644883,0.070651193554206,0.3382321799161408,1175,15456,169,3993
flow_only,XGBoost,0.25,0.272399365170971,0.20696841767755036,0.9305622296972609,0.10769045757921952,0.33862295081967214,1791,14840,289,3873
flow_only,XGBoost,0.3,0.3111624104265859,0.21082588650463885,0.8899567515617491,0.1663159160603692,0.34089549491509824,2766,13865,458,3704
flow_only,XGBoost,0.35,0.3679603712787958,0.21625379170879677,0.822200864968765,0.25428416811977633,0.3424397077954568,4229,12402,740,3422
flow_only,XGBoost,0.4,0.45207521762131486,0.22711148011170654,0.7229697260932244,0.38428236425951534,0.34564355866980645,6391,10240,1153,3009
flow_only,XGBoost,0.45,0.543404030202472,0.24251497005988024,0.6033157135992311,0.5284107991100956,0.3459630752273354,8788,7843,1651,2511
flow_only,XGBoost,0.5,0.6265570143798393,0.26091572660915724,0.4723690533397405,0.6651434068907462,0.3361545695477473,11062,5569,2196,1966
flow_only,XGBoost,0.55,0.6977348146010677,0.2830574289801758,0.3327727054300817,0.7890686068185918,0.3059083379348426,13123,3508,2777,1385
flow_only,XGBoost,0.6,0.742028567306305,0.30499675535366644,0.22585295530994715,0.8712043773675666,0.25952512424075097,14489,2142,3222,940
flow_only,XGBoost,0.65,0.768335497523205,0.3269941891178024,0.14872657376261414,0.9233960675846311,0.20445912469033856,15357,1274,3543,619
flow_only,XGBoost,0.7,0.7834367335160871,0.35056967572305,0.09610764055742431,0.9554446515543262,0.15085800490288515,15890,741,3762,400
flow_only,XGBoost,0.75,0.7903140479969221,0.35,0.05550216242191254,0.9742047982682942,0.09581086686022397,16202,429,3931,231
