regime,feature_variant,experiment,model,threshold,accuracy,precision,sensitivity,specificity,f1,tn,fp,fn,tp,youden_index
all_epochs,base,spo2_only,XGBoost,0.65,0.7750204395710095,0.37702573879885604,0.19005285920230658,0.9214118212975768,0.25271565495207665,15324,1307,3371,791,0.11146468049988334
all_epochs,base,spo2_only,XGBoost,0.7,0.7881498581253307,0.39180765805877116,0.10571840461316674,0.9589321147255127,0.1665089877010407,15948,683,3722,440,0.06465051933867949
all_epochs,base,spo2_only,XGBoost,0.75,0.7947867070648776,0.39766081871345027,0.0490148966842864,0.981420239312128,0.08727272727272728,16322,309,3958,204,0.030435135996414342
all_epochs,base,spo2_only,XGBoost,0.8,0.7968547107199538,0.371900826446281,0.02162421912542047,0.9908604413444771,0.04087193460490463,16479,152,4072,90,0.012484660469897602
all_epochs,base,spo2_only,XGBoost,0.85,0.7986822488337422,0.39090909090909093,0.010331571359923113,0.9959713787505261,0.020131086142322098,16564,67,4119,43,0.006302950110449235
all_epochs,base,spo2_only,XGBoost,0.9,0.7994998316741211,0.36,0.002162421912542047,0.9990379411941555,0.0042990207786004295,16615,16,4153,9,0.0012003631066974663
all_epochs,base,spo2_only,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0,0.0
all_epochs,enhanced,effort_only,XGBoost,0.05,0.2012696580580003,0.20029859371989983,0.9992791926958193,0.0015633455594973242,0.3337077750140416,26,16605,3,4159,0.0008425382553165495
all_epochs,enhanced,effort_only,XGBoost,0.1,0.20530947915163758,0.20076491092176607,0.9963959634790965,0.007335698394564368,0.3341929244902893,122,16509,15,4147,0.0037316618736609186
all_epochs,enhanced,effort_only,XGBoost,0.15,0.21738084932429183,0.20088910842183255,0.9771744353676117,0.027238289940472612,0.3332650469127709,453,16178,95,4067,0.004412725308084342
all_epochs,enhanced,effort_only,XGBoost,0.2,0.2406098206127062,0.20233463035019456,0.9495434887073523,0.06319523780891106,0.33358656199881825,1051,15580,210,3952,0.012738726516263288
all_epochs,enhanced,effort_only,XGBoost,0.25,0.2780743519453662,0.20571800575055607,0.9111004324843825,0.11965606397691059,0.33564947997344546,1990,14641,370,3792,0.030756496461293192
all_epochs,enhanced,effort_only,XGBoost,0.3,0.3280430914249988,0.21089237298125663,0.8596828447861605,0.19499729420960857,0.33869746308216586,3243,13388,584,3578,0.05468013899576918
all_epochs,enhanced,effort_only,XGBoost,0.35,0.3909488770259222,0.21727853152434157,0.7849591542527631,0.29234561962599964,0.3403479529117616,4862,11769,895,3267,0.07730477387876267
all_epochs,enhanced,effort_only,XGBoost,0.4,0.47203385754821336,0.2312302839116719,0.7044690052859203,0.41386567253923395,0.34817717610735066,6883,9748,1230,2932,0.11833467782515417
all_epochs,enhanced,effort_only,XGBoost,0.45,0.5576395902467176,0.2512349338075479,0.611004324843825,0.5442847694065299,0.3560627275273033,9052,7579,1619,2543,0.15528909425035486
all_epochs,enhanced,effort_only,XGBoost,0.5,0.6247775693743086,0.2647971051951409,0.49231138875540603,0.6579279658469124,0.34436974789915964,10942,5689,2113,2049,0.1502393546023184
all_epochs,enhanced,effort_only,XGBoost,0.55,0.6845573029384889,0.2854841596563451,0.38322921672272947,0.7599663279417954,0.3272130474920505,12639,3992,2567,1595,0.143195544664525
all_epochs,enhanced,effort_only,XGBoost,0.6,0.726205934689559,0.2994498297091957,0.27462758289284,0.8392159220732367,0.28650206792831184,13957,2674,3019,1143,0.11384350496607665
all_epochs,enhanced,effort_only,XGBoost,0.65,0.7552060789688838,0.3079470198675497,0.17876021143680923,0.899464854789249,0.226208574034661,14959,1672,3418,744,0.07822506622605818
all_epochs,enhanced,effort_only,XGBoost,0.7,0.7717501082094936,0.29320113314447593,0.09947140797693417,0.9399915819854489,0.14854682454251883,15633,998,3748,414,0.039462989962383066
all_epochs,enhanced,effort_only,XGBoost,0.75,0.7860818544702544,0.2852852852852853,0.04565112926477655,0.9713787505261259,0.07870753935376967,16155,476,3972,190,0.017029879790902314
all_epochs,enhanced,effort_only,XGBoost,0.8,0.79473861395662,0.26548672566371684,0.014416146083613647,0.9900186398893632,0.027347310847766638,16465,166,4102,60,0.004434785972976973
all_epochs,enhanced,effort_only,XGBoost,0.85,0.799163179916318,0.3333333333333333,0.003363767419509851,0.9983163970897722,0.006660323501427212,16603,28,4148,14,0.0016801645092821005
all_epochs,enhanced,effort_only,XGBoost,0.9,0.7997883903236667,0.0,0.0,0.9999398713246347,0.0,16630,1,4162,0,-6.012867536531186e-05
all_epochs,enhanced,effort_only,XGBoost,0.95,0.7998364834319242,0.0,0.0,1.0,0.0,16631,0,4162,0,0.0
all_epochs,enhanced,flow_only,XGBoost,0.05,0.22988505747126436,0.20421304847002447,0.9829408938010572,0.041428657326679094,0.33816904319074187,689,15942,71,4091,0.0243695511277362
all_epochs,enhanced,flow_only,XGBoost,0.1,0.2362333477612658,0.2054787635084192,0.9822200864968765,0.04954602850099212,0.3398595003533275,824,15807,74,4088,0.031766114997868744
all_epochs,enhanced,flow_only,XGBoost,0.15,0.247150483335738,0.2069862315145334,0.9752522825564632,0.06493896939450423,0.3414941948510853,1080,15551,103,4059,0.04019125195096751
all_epochs,enhanced,flow_only,XGBoost,0.2,0.26783051988650025,0.2092314162548628,0.956271023546372,0.09554446515543262,0.34334023464458246,1589,15042,182,3980,0.051815488701804524
